website;performance;accessibility;seo;best-practices
semprot.com;0.93;0.95;0.92;0.8
rk.edu.pl;0.93;1;0.91;1
maskable.app;1;0.78;1;0.87
keepcalms.com;0.74;0.81;0.92;0.67
solaritycu.org;0.66;0.86;0.91;0.6
onlinejobs.lk;0.9;0.73;0.92;0.73
zinoui.com;0.86;0.9;1;0.93
thegardeningcook.com;0.91;0.97;1;1
people.nhs.uk;0.91;1;0.83;0.8
welt.de;0.9;0.77;1;0.93
techjourney.net;0.86;0.88;0.92;0.67
bn.voicetv.tv;0.37;0.9;1;0.8
rsa-sachsen.de;0.49;0.7;0.82;0.93
mobilnisvet.com;0.96;0.88;1;0.8
securite.jp;0.39;0.8;0.82;0.73
poryadok.ru;0.87;0.84;1;0.93
fernandesguitars.com;0.99;1;0.91;0.93
wakacje.pl;0.82;0.67;0.83;0.87
francetransactions.com;0.91;0.93;0.83;0.87
site.tehranlms.ir;0.82;0.69;0.91;0.67
wekauto.ru;0.75;0.8;1;0.87
jafarzade.com;0.82;0.8;0.83;0.87
dbz.space;0.97;0.71;0.73;0.67
luv.xxx;0.6;0.9;0.92;0.93
wapteka.pl;0.99;0.71;0.82;0.8
husham.com;0.96;0.86;1;0.8
senetic.pl;0.73;0.72;0.83;0.73
zillow.com;0.98;0.9;0.64;0.87
roozno.com;0.64;0.72;0.92;0.8
vfo.vn;0.55;0.77;0.91;0.8
winentaste.com;0.46;0.9;1;0.87
wonkette.com;0.99;0.91;0.91;0.8
ofertassupermercados.es;0.98;0.95;1;0.93
myhotbride.com;0.82;0.95;1;0.93
hvacr.vn;0.63;0.88;0.9;0.87
stileo.it;0.91;0.91;0.92;0.93
airtel.in;0.93;0.87;0.92;0.93
clementsols.com;1;1;0.9;1
ukrzoloto.ua;0.85;0.79;0.83;0.87
thesmartmethod.com;0.95;1;1;1
pohodafestival.sk;0.98;0.84;0.9;0.87
sekaitrip.com;0.68;0.89;0.92;0.73
msport.com;0.62;0.53;0.91;0.87
cuponation.com.mx;0.78;0.8;0.92;0.87
wadic.net;0.58;0.95;0.83;0.73
conservative-daily.com;0.73;0.83;0.83;0.73
resaa.net;0.76;0.76;0.75;0.8
tradetools.com;0.38;0.86;0.82;0.67
geliufeja.lt;0.81;0.86;0.92;0.67
przepisy.pl;0.53;0.97;0.92;0.8
pudelek.pl;0.79;0.74;0.91;0.87
rferl.org;0.89;0.77;0.83;0.87
0629.com.ua;0.35;0.86;0.92;0.73
inspiringmeme.com;0.67;0.75;0.83;0.6
tookapic.com;0.86;0.84;0.91;0.87
finparty.ru;0.81;0.87;1;0.8
turbozentrum.de;0.81;0.76;1;0.87
irifcm.asia;0.93;0.98;1;1
origo.is;0.86;0.7;0.91;0.8
swellinfo.com;0.94;0.74;0.82;0.8
saarland.de;0.81;0.76;0.92;0.73
ultimaterra.fr;0.94;0.79;1;0.8
abbottsathome.com;0.87;0.97;1;0.93
artrabbit.com;0.97;0.98;0.91;0.93
shift-eg.com;0.63;0.82;0.75;0.53
celebmasta.com;0.75;0.98;1;0.93
teslaownersonline.com;0.68;0.88;0.83;0.8
sportxx.ch;0.89;0.72;0.91;0.8
airtelxstream.in;0.79;0.78;0.92;0.87
pvpoke.com;0.96;0.54;0.82;0.87
odb.org;0.44;0.95;0.92;0.8
geeksgyaan.com;0.98;0.86;0.92;0.87
newmedicinefoundation.org;1;0.89;0.82;1
sparesbox.com.au;0.21;0.88;0.83;0.87
themarker.com;0.52;0.68;0.92;0.8
kafeteria.pl;0.83;0.74;0.82;0.8
cers.com.br;0.3;0.77;0.73;0.67
switify.com;0.5;0.71;0.92;0.73
fnp.de;0.98;0.96;0.92;0.81
lenskart.com;0.48;0.73;0.67;0.73
stagecoachbus.com;0.92;0.7;0.92;0.73
criptovalutenews.com;0.99;0.86;0.92;1
dailypost.co.uk;0.79;0.87;0.82;0.73
fbombpizza.com;0.94;0.93;0.91;1
lexpress.fr;0.75;0.78;1;0.73
ulkucumedya.com;0.73;0.77;1;0.73
giftee.co.jp;0.65;0.95;0.9;0.8
bluelight.org;0.88;0.95;0.9;0.8
northeastshooters.com;0.9;0.87;0.91;0.87
cheddar.com;0.41;0.95;0.83;0.67
istanbulses.com;0.88;0.8;0.92;0.93
88razzi.com;0.51;0.55;0.83;0.6
tropipay.com;0.43;0.98;0.83;0.8
writingforums.com;0.9;0.88;0.91;0.73
alfabozum.com;0.94;0.8;0.92;0.93
daboom.ru;0.88;0.87;1;0.8
thequietgrove.com;0.99;0.95;0.83;0.93
tous.com;0.76;0.81;0.83;0.93
pvamu.edu;0.56;0.94;0.75;0.73
target.com;0.65;0.96;0.92;0.87
honeysanime.com;0.72;0.66;0.83;0.87
howtoremoveit.info;0.63;0.99;0.83;0.73
ecoosfera.com;0.78;0.92;0.92;0.87
buildnext.in;0.59;0.86;0.92;0.87
thehackernews.com;0.85;0.9;0.92;0.8
jumla.club;0.94;0.68;0.8;1
mkmbs.co.uk;0.71;0.77;0.75;0.93
abdpost.com;0.56;0.64;1;0.73
khedmatazma.com;0.65;0.74;0.92;0.87
espaciohogar.com;0.9;0.77;0.92;0.93
filcin.com;0.79;0.87;0.91;0.8
interstateplastics.com;0.75;0.77;0.91;0.67
mundoconectado.com.br;0.94;0.82;1;0.67
cricketgamesatme.com;0.83;0.77;1;0.67
jobvision.ir;0.47;0.79;0.82;0.67
pomeranian.org;0.93;0.95;0.83;0.93
rubner.com;0.98;0.81;0.83;0.93
obmenneg.com;0.97;0.77;0.91;0.8
koinalert.com;0.75;0.59;0.92;0.87
manua.ls;0.87;0.89;1;0.87
normasbrasil.com.br;0.95;0.87;1;0.87
fincalculator.ru;0.98;0.87;1;0.93
bancor.network;0.99;0.77;0.91;0.93
adventuresofanurse.com;1;0.98;0.83;1
raybodgroup.ir;0.38;0.63;0.91;0.8
trellis.co;0.7;1;1;0.93
hunerhediyelik.com;0.95;0.94;0.92;0.93
rayabaan.com;0.62;0.78;0.82;0.73
katzen-forum.net;0.98;0.94;1;0.87
md5hashing.net;0.68;0.84;1;0.87
skionline.pl;0.75;0.98;1;0.87
makeupmuddle.com;1;0.98;0.83;1
sfnutri.com;0.5;0.94;0.83;0.93
footballdatabase.eu;0.65;0.62;0.82;0.67
rocketium.com;0.89;0.8;0.83;0.67
jagermeister.com;0.91;0.98;0.91;0.87
msto.me;0.79;0.75;0.82;0.87
wegenenverkeer.be;0.94;0.83;0.92;0.8
canadapetcare.com;0.67;0.52;0.75;0.67
totalfootballanalysis.com;0.86;0.94;0.92;0.8
side-line.com;0.82;0.78;0.83;0.73
presscontact.co.uk;0.78;0.93;0.91;0.87
a11yproject.com;1;1;1;1
selency.fr;0.63;0.76;0.83;0.8
carhartt-wip.com;0.83;0.76;0.83;0.73
bienici.com;0.73;0.65;0.92;0.87
youtube4kdownloader.com;0.91;0.78;0.83;0.67
finecooking.com;0.88;0.63;0.83;0.87
fasny.com;0.9;0.95;0.83;0.93
rummypassion.com;0.67;0.71;0.83;0.73
topratedforexbrokers.com;0.78;0.83;0.92;0.87
pomofocus.io;0.83;0.67;0.91;0.93
mp3noi.com;0.99;1;1;0.87
gojob.az;0.89;0.82;0.91;0.87
sitnsleep.com;0.45;0.94;0.92;0.73
beerhouse.mx;0.29;0.8;0.92;0.73
mooclab.club;0.9;0.83;0.82;0.73
csgofloat.com;0.54;0.75;0.82;0.87
printplanet.com;0.86;0.92;0.9;0.93
molily.de;1;1;1;1
wildcraft.com;0.38;0.61;0.73;0.67
rushbrush.com;0.55;0.68;0.73;0.6
mgid.com;0.85;0.88;0.83;0.87
sitesakamoto.com;0.72;1;1;1
magicalvegas.com;0.99;0.9;0.83;0.87
rmf.fm;0.87;0.77;0.83;0.8
thevegankindsupermarket.com;0.42;0.83;1;0.87
happyelements.co.jp;0.58;0.97;0.91;1
pingo.com;0.9;0.89;1;1
vistax64.com;0.99;0.98;1;1
kelkoo.fr;0.91;0.98;0.92;0.93
xn--h1aajghbhje4i.xn--p1ai;0.78;0.93;1;0.8
naydizdes.com;1;0.89;0.83;0.93
designcode.io;0.93;0.97;1;1
eu.yoins.com;0.8;0.59;0.73;0.67
alakazam.co.uk;0.54;0.81;0.9;0.73
vplayed.com;0.6;0.88;0.83;0.87
543life.com;0.58;0.76;0.82;0.87
stickers.cloud;0.73;0.63;0.91;0.8
horrorbuzz.com;0.46;0.82;0.83;0.8
pinarello.com;0.65;0.94;0.91;0.87
tvn24.pl;0.6;0.81;0.92;0.67
infotrafic.com;0.22;0.79;1;0.8
instagram-my.ru;0.89;0.82;1;0.73
blade-tech.com;0.72;0.96;0.92;0.73
cheragh.com;0.74;0.77;1;0.8
nextstopchile.travel;0.47;0.8;0.75;0.8
betpal.com;0.97;0.81;0.83;0.93
rustxt.ru;0.62;0.86;1;0.87
statrys.com;0.67;0.88;0.92;0.87
wizardforums.com;0.87;0.98;1;1
realtyaustin.com;0.73;0.89;1;0.87
mtarget.co;0.52;0.8;0.83;0.87
stopprzestepczosci.pl;0.93;0.95;1;0.87
zinio.com;0.59;0.81;1;0.67
domiporta.pl;0.68;0.8;0.92;0.8
1001activiteiten.nl;0.94;0.9;0.91;0.87
thehungrybluebird.com;1;0.98;1;0.93
thegingeredwhisk.com;0.99;0.94;0.92;1
kompiajaib.com;0.99;1;1;0.93
sim3mien.com;0.67;0.96;1;0.93
dgoffer.ir;0.81;0.88;0.75;1
gutscheine.de;0.97;1;0.92;0.87
birgun.net;0.8;0.91;1;0.67
astraweb.com;0.69;0.85;0.82;0.93
mosbatesabz.com;0.68;0.73;0.83;0.73
waiverforever.com;0.94;0.69;0.83;0.8
opengraph.xyz;0.89;0.87;0.9;1
tvcairport.com;0.79;0.82;0.67;0.93
tensorflow.org;0.85;0.84;0.83;0.87
fili.com;0.87;0.99;0.92;1
hungama.com;0.32;0.57;0.83;0.67
ourtableforseven.com;0.92;0.93;0.92;0.93
ritter-sport.com;0.77;0.83;0.92;0.8
newschecktoday.com;0.87;0.95;0.92;0.87
smarttender.biz;0.73;0.74;0.83;0.8
okra.ng;0.69;0.92;1;1
moolah.bet;0.5;0.89;0.82;0.93
erocommunity.com;0.73;0.68;1;0.8
butovo-luga.ru;0.66;0.8;1;0.8
toychamp.nl;0.92;0.88;0.82;0.8
saveur-biere.com;0.42;0.73;0.91;0.87
neshanetejarat.ir;0.81;0.71;0.91;0.67
s-kanava.fi;0.68;0.47;0.91;0.93
tropicaltidbits.com;0.8;0.72;0.82;0.93
happilyunmarried.com;0.43;0.76;0.91;0.73
mykonosticker.com;0.97;0.78;0.75;0.73
poisk-mastera.ru;0.9;0.81;1;0.87
paperlesspipeline.com;0.98;0.98;1;1
bluedragonlottery.com;0.83;0.91;0.91;0.8
leasing.com;0.98;0.98;1;0.93
fiveaa.com.au;0.7;0.86;0.75;0.67
agendaonline.it;0.94;0.94;1;1
autoauctionmall.com;0.53;0.88;1;0.8
flixier.com;0.85;0.84;0.91;0.93
harsle.com;0.76;0.77;0.83;0.8
ezebra.pl;0.98;0.79;0.92;0.8
sida.se;0.93;0.98;1;0.87
patchplants.com;0.73;0.72;0.83;0.8
foodtiger.site;0.96;0.79;0.73;0.87
runnersworld.co.za;0.97;0.86;0.83;0.87
charliehunter.com;1;0.99;0.9;1
mijnreceptenboek.nl;0.9;0.89;0.91;0.87
webcomponents.org;0.97;0.85;0.82;0.93
efy.in;0.55;0.61;0.75;0.8
uydudoktoru.com;0.95;0.94;1;1
shabakieh.com;0.5;0.81;0.82;0.93
sublet.com;0.98;0.96;1;1
trashbox.ru;0.84;0.84;1;0.87
whatismyelevation.com;0.95;0.81;1;0.73
xn--80affa3aja3an.xn--80asehdb;0.52;0.48;1;0.67
cecil.de;0.42;0.82;0.91;0.8
eastdesign.net;0.76;0.8;0.83;0.73
form-mailer.jp;0.72;0.82;0.83;0.87
workitdaily.com;0.8;0.69;0.91;0.87
bccks.jp;0.56;0.63;0.73;0.87
matadornetwork.com;0.73;0.64;0.92;0.67
vjmedia.com.hk;0.5;0.68;0.83;0.6
babygames.com;0.85;0.65;0.75;0.67
paysera.com;0.91;0.83;0.75;0.93
ap7am.com;0.9;1;1;0.73
pravnapomoc.app;0.81;0.62;0.8;0.87
tv-programme.com;0.89;0.88;1;0.87
p-arasteh.org;0.72;0.88;0.75;0.87
gramotei.online;0.88;0.96;1;0.93
pinafore.social;1;0.96;1;1
ematic.us;0.45;0.96;0.83;0.8
socialistinternational.org;0.91;0.98;1;1
willflyforfood.net;0.99;0.96;1;1
2event.com;0.42;0.82;0.73;0.8
vvv-venlo.nl;0.51;0.69;0.82;0.8
dv.is;0.82;0.82;0.92;0.73
infoshare.pl;0.95;0.71;0.73;0.73
undertow.club;0.99;0.93;1;0.87
itasportpress.it;0.9;0.64;0.83;0.6
momsandcrafters.com;0.88;0.94;0.92;0.88
serene-production-ezycommerce.ezyflight.se;0.69;0.71;0.91;1
yumeko.nl;0.78;0.88;0.82;0.87
lebtown.com;0.83;0.98;0.92;0.93
spacemarket.com;0.57;0.8;0.92;0.73
interexchange.org;0.78;0.96;1;0.8
topwar.ru;0.99;0.95;1;0.87
pixilart.com;0.85;0.87;0.92;0.8
ilearnlot.com;0.59;0.76;1;0.73
bartog.si;0.27;0.75;0.83;0.53
ultimatecourses.com;1;0.96;1;0.93
ebalovo.sex;0.97;0.98;0.92;1
ksml.fi;0.65;0.94;1;0.87
paleoleap.com;0.92;0.93;0.92;0.93
dentalsave.com;0.9;0.66;0.92;0.8
lanacion.com.ar;0.59;0.88;1;0.73
theluxurycloset.com;0.81;0.95;0.75;0.73
via-mobilis.com;0.99;0.83;1;0.93
drcontractors.co.uk;0.98;0.89;0.73;1
trillonario.com;0.47;0.83;0.73;0.87
coventrytelegraph.net;0.63;0.94;0.91;0.73
bitcoin.com;0.64;0.87;1;0.8
milanodigitalweek.com;0.53;0.75;0.91;0.87
erfanrayaneh.ir;0.5;0.71;0.92;0.67
aipsurveyschina.com;0.64;0.74;0.83;0.87
cryptoscamdb.org;0.69;0.93;0.91;0.87
chilango.com;0.82;0.78;0.82;0.73
pmdbeauty.com;0.96;0.78;0.82;0.73
privesc.eu;0.84;0.89;0.92;0.73
thayers.com;0.8;0.98;0.83;0.8
158.69.0.158;0.66;0.89;0.92;0.73
superhotgame.com;0.59;0.94;0.91;0.87
socportal.info;0.84;0.87;1;0.67
illinoisloyalty.com;0.58;0.87;1;0.8
mihanmonitor.com;0.81;0.88;0.75;0.8
secretnyc.co;0.95;0.88;0.92;0.87
epbr.com.br;0.9;0.83;1;0.87
hoseinghorbani.com;0.87;0.88;0.83;0.8
mtarget.co;0.55;0.8;0.83;0.87
buzzbingo.com;0.2;0.58;0.83;0.73
sheknows.com;0.87;0.97;0.92;0.8
nowjakarta.co.id;0.28;0.58;0.75;0.6
skinnyski.com;0.83;0.88;0.82;0.93
morgenwirdes.de;1;1;1;1
allmylinks.com;0.96;0.93;0.82;0.8
nordpass.com;0.95;0.96;1;1
loghati.net;0.84;0.83;0.82;0.87
instrument.com;0.96;0.98;0.91;0.87
ya-webdesign.com;1;0.74;0.91;0.87
data-rocket.com;0.84;0.92;0.92;0.93
mobilerecharge.com;0.83;0.89;1;1
oldworldgardenfarms.com;0.99;0.95;0.83;0.94
monsterdealz.de;0.8;0.8;0.92;0.87
melorra.com;0.81;0.83;0.83;0.87
nanansem.com;0.49;0.79;0.92;0.73
elidealgallego.com;0.58;0.81;0.92;0.73
cc-community.net;0.99;0.98;0.92;1
randommer.io;0.98;0.94;1;0.93
faire.gouv.fr;0.55;0.81;1;0.8
bistrocu.com;0.6;0.7;0.83;0.8
amillionstyles.com;0.92;0.85;0.92;0.73
strip.chat;0.74;0.88;0.91;0.93
relationshiphero.com;0.62;0.57;0.91;0.8
freshfruitportal.com;0.53;0.84;0.83;0.73
uzmanposta.com;0.89;0.95;1;0.93
parcomega.ca;0.57;0.79;0.82;0.8
a-3.ru;0.91;0.96;1;0.93
playvod-uae.com;0.9;0.89;0.83;0.73
firstlaunch.in;0.79;0.95;1;0.73
menara.ma;0.61;0.86;0.91;0.87
speedypaper.com;0.97;0.64;0.92;0.87
notifadz.com;0.74;0.98;0.91;0.8
roman.co.uk;0.77;0.92;1;0.8
coursary.com;0.91;0.71;0.82;0.93
progorod33.ru;0.71;0.66;0.75;0.73
openspeedtest.com;0.89;0.66;0.75;0.87
torah.org;0.16;0.88;0.67;0.73
homebuiltairplanes.com;0.71;0.87;0.91;0.67
frifagbevegelse.no;0.78;0.46;0.73;0.67
bauhaus.com.tr;0.72;0.53;0.91;0.73
spierfonds.nl;0.85;0.98;1;0.8
digitap.eu;0.87;0.71;0.91;0.93
telecinco.es;0.2;0.62;0.92;0.73
veganbits.com;0.87;0.85;0.83;0.87
selectcannabis.com;0.81;1;1;0.87
reddoorz.com;0.57;0.61;0.64;0.73
installitdirect.com;0.83;0.97;0.91;0.93
domotekhnika.ru;0.45;0.71;0.83;0.8
beyondanimal.com;0.7;0.81;1;0.93
kaieteurnewsonline.com;0.67;0.75;0.67;0.53
baianat.com;0.95;0.96;0.9;1
watcha.com;0.48;0.71;0.91;0.87
xxx8.me;0.99;0.72;0.92;0.87
freedom.tm;0.73;0.78;0.82;0.93
homely.com.au;0.83;0.89;0.92;0.93
suarasurabaya.net;0.74;0.85;0.92;0.8
actu.fr;0.92;0.89;1;0.93
variety.com;0.8;0.81;0.75;0.8
litomerice.cz;0.72;0.72;1;0.93
freedsound.xyz;1;0.81;0.91;0.93
3dfindit.com;0.84;0.82;0.83;0.8
heute-erlebt.de;0.99;0.87;1;0.87
news.bg;0.75;0.85;0.83;0.8
kitapyurdu.com;0.9;0.98;0.82;0.93
footcenter.fr;0.42;0.6;0.92;0.87
academywave.com;0.83;0.75;0.83;0.8
ajiobusiness.com;0.69;0.65;0.8;0.8
anniecloth.com;0.57;0.52;0.75;0.67
sunteccity.com.sg;0.37;0.88;0.8;0.87
big-book-city.ru;0.95;0.88;0.91;0.8
cibertest.com;0.69;0.9;1;0.87
amateurx.com;0.72;0.59;0.91;0.8
lendbox.in;0.5;0.66;0.75;0.8
sugardishme.com;0.93;0.95;1;1
tekfullfilmizle1.com;0.78;0.81;0.83;0.87
elnacional.com.do;0.79;1;1;0.8
msl-tourisme.fr;0.55;0.8;0.83;0.87
hd-easyporn.com;1;0.98;1;0.87
nlvoorelkaar.nl;0.77;0.77;0.91;1
realmailorderbride.com;0.85;0.97;0.92;0.93
promonews.tv;0.74;0.96;0.92;1
bidmotion.com;0.91;0.96;0.9;0.93
kuula.co;0.41;0.59;0.75;0.93
orange.pl;0.74;0.69;0.91;0.8
cryptoinformator.com;0.88;1;1;1
adkulan.kz;0.73;0.84;0.91;0.87
cubscoutideas.com;0.97;0.95;0.92;0.93
sex.com;0.72;0.95;1;1
longmontleader.com;0.9;1;1;0.67
matson.online;0.51;0.79;0.83;0.87
what-europe-does-for-me.eu;0.96;0.85;0.82;0.87
montyroberts.com;0.71;0.96;0.83;1
laroche-posay.co.uk;0.88;0.95;0.91;0.8
resortcams.com;0.96;0.97;0.92;1
webwave.me;0.47;0.91;0.83;0.6
bigbikeinfo.com;0.7;0.74;1;0.87
edusanjal.com;0.77;0.75;1;0.93
gemeentehw.nl;0.8;1;0.92;0.93
writerduet.com;0.91;0.86;0.91;1
riddimsworld.com;1;0.96;1;1
xosobamien.me;1;0.85;1;0.93
georgetakei.com;0.98;0.91;0.91;0.87
birhayalinpesinde.com;0.88;0.94;1;0.8
thesecretlabel.com;0.32;0.78;0.92;0.8
workindia.in;0.85;0.75;0.7;0.8
resumenerd.com;0.97;0.92;0.83;1
casanissei.com;0.54;0.89;0.82;0.93
sproutworld.com;0.9;0.97;0.92;0.73
magazinexperts.com;0.65;0.96;0.83;0.67
kaliboys.com;0.99;0.89;0.92;0.93
androidzoom.ir;0.83;0.8;1;0.87
visit1000islands.com;0.87;1;0.75;0.87
isolezwe.co.za;0.83;0.94;0.92;0.8
manualpdf.es;0.93;0.89;1;1
matstore.ir;0.72;0.82;0.91;0.73
nowafarmacja.pl;0.39;0.86;0.92;0.73
muathuoctot.com;0.35;0.77;0.58;0.67
wotofo.com;0.5;0.68;0.83;0.8
51.222.25.37;0.68;0.89;0.92;0.73
lexiacore5.com;0.91;0.5;0.91;0.87
tagline.ru;0.8;0.49;0.67;0.8
loi.com.uy;0.77;0.77;0.82;0.87
netguide.com;0.85;0.63;0.82;0.87
dreamclub.nz;0.75;0.8;0.92;0.8
destroytoday.com;0.97;0.87;0.73;1
coastal.com;0.82;0.98;1;0.73
grandelakes.com;0.99;0.7;0.92;0.8
munseat.com;0.73;0.89;0.92;0.87
edigest.hk;0.66;0.73;0.75;0.67
corotos.com.do;0.77;0.78;0.92;0.8
nnc.mx;0.61;0.62;0.92;0.67
stpancras.com;0.71;0.84;0.73;0.73
firedpie.com;0.5;0.91;0.83;0.8
novoda.com;0.92;0.95;0.91;0.93
lokadata.id;0.78;0.96;0.91;0.87
novelgo.id;0.96;0.93;0.82;0.93
bestreviews.guide;0.97;0.82;0.75;0.67
unmetric.com;0.93;0.93;0.83;0.73
coronaviruscymru.wales;0.83;0.96;0.9;1
pasaria.ir;0.6;0.67;1;0.6
autoklad.ua;0.98;0.61;0.82;0.93
en.incanto.eu;0.6;0.8;0.92;0.8
ville-massy.fr;0.99;0.9;0.92;0.93
talyarkoni.org;0.85;0.61;0.7;1
charcol.co.uk;0.76;0.99;0.92;0.8
mjam.net;0.81;0.73;0.82;0.8
forbiddenplanet.com;0.8;0.92;0.91;0.93
neue.at;0.7;0.94;1;0.87
convertify.mobi;0.99;0.89;0.9;0.93
stockmusic.ir;0.89;0.76;0.83;0.93
okucia-shop.pl;0.76;0.77;0.92;0.53
longdo.com;0.58;0.82;0.91;0.73
bancoripley.cl;0.59;0.71;0.67;0.8
shejang.com;0.45;0.71;0.67;0.73
coconala.com;0.26;0.72;0.83;0.8
freecampsites.net;0.6;0.9;0.91;0.93
simcompanies.com;0.66;0.78;1;0.8
metartx.com;0.94;0.8;0.82;1
progresso.com;0.85;0.98;0.92;0.8
sleepingchoice.com;1;0.97;1;0.93
xenforo.gen.tr;0.9;0.88;1;0.73
topspeed.com;0.98;0.97;0.92;0.93
obuvki.bg;0.74;0.81;0.82;0.73
buzzfeed.de;0.98;0.99;0.92;0.88
paulolyslager.com;0.98;0.91;1;0.87
rugbyshop.com;0.52;0.53;0.92;0.87
freeriderhd.com;0.83;0.72;0.92;0.8
sva.edu;0.61;0.9;0.91;0.73
worldcoffeeevents.org;0.64;0.82;0.83;0.67
posciel.to;0.8;0.66;0.92;0.67
tagankateatr.ru;0.69;0.82;0.8;0.67
xanpool.com;0.32;0.59;1;0.93
fantasticmetropolis.com;1;0.95;1;1
srbijadanas.com;0.72;0.84;1;0.73
footao.tv;1;0.82;1;0.87
lamar.mx;0.74;0.96;0.91;0.87
matrixcalc.org;0.86;0.93;0.9;0.93
sedayemoshaveran.com;0.96;0.56;0.83;0.73
gouda.nl;0.94;0.98;0.92;0.87
keepv.id;0.82;0.96;1;0.87
e-s-e.eu;0.99;1;1;1
clevelandfilm.org;0.73;0.7;0.8;0.6
dailyfilm.ir;0.84;0.74;0.83;0.73
allaboutworldview.org;0.98;0.96;0.83;0.93
muveszetekvolgye.hu;0.96;0.98;1;0.87
uchisam.com;0.92;0.98;1;0.93
newmediadenver.com;0.95;0.96;0.92;1
digikonkur.com;0.85;0.94;0.83;0.73
autotalli.com;0.75;0.88;0.92;0.6
osnmedia.ru;0.81;0.74;0.92;0.73
startupguide.com;0.59;0.88;0.91;0.73
afradata.net;0.37;0.77;0.83;0.73
whtop.com;0.98;1;1;0.93
chicagohealthonline.com;0.61;0.79;0.83;0.67
itresan.com;0.76;0.78;0.75;0.87
prcomputacion.com;0.65;0.72;0.83;0.73
betshop.gr;0.87;0.87;0.91;0.87
acedarspoon.com;0.96;0.88;0.83;0.93
perfectxml.com;0.81;1;1;1
misteraladin.com;0.64;0.88;0.82;0.8
masdemx.com;0.94;0.98;1;1
weblancer.net;0.99;0.88;0.92;0.73
exportcomments.com;0.78;0.77;0.83;1
greatimi.com;0.68;0.75;0.75;0.8
malabargoldanddiamonds.com;0.42;0.82;0.83;0.73
myshopprime.com;0.74;0.83;0.91;1
schrack.at;0.9;0.65;0.83;0.8
bakti.id;0.87;0.96;1;1
seekingalpha.com;0.82;0.98;0.91;0.67
cemoi.fr;0.48;0.88;0.92;0.73
dcbusiness.ro;0.91;0.67;0.92;0.87
worldrecipes.eu;0.69;0.9;0.83;0.8
edools.com;0.8;0.85;1;0.93
levelwinner.com;0.83;0.92;0.73;0.93
babyclub.de;0.7;0.4;0.91;0.67
toryburch.com;0.82;0.8;0.83;0.87
masa.co.il;0.56;0.7;0.83;0.6
bazar.bg;0.93;0.79;0.75;0.8
estradaistudio.pl;0.69;0.68;0.82;0.53
tuttoandroid.net;0.94;0.79;1;0.87
eventrid.cl;0.58;0.81;0.82;0.73
quickmail.io;0.99;0.72;0.91;0.93
uclan.it;0.56;0.96;0.92;0.8
pggm.nl;0.93;0.86;1;1
beeg.com;0.88;0.81;0.82;0.93
uhrforum.de;0.96;0.89;0.92;0.93
troteclaser.com;0.92;0.82;0.92;0.8
youngisthan.in;0.85;0.85;0.83;0.8
internapoli.it;0.84;0.92;0.92;0.67
gastronomblog.com;0.98;0.97;1;1
naturescanner.nl;0.94;0.96;1;0.73
esoko.bi;0.52;0.87;0.75;0.8
shopcrocs.in;0.55;0.59;0.73;0.6
supersklep.pl;0.91;0.96;1;0.93
votefromabroad.org;0.82;1;0.82;0.87
rizehaberleri.com;0.68;0.68;0.92;0.6
community.cloudninecare.com;0.66;0.63;0.73;0.73
busrep.co.za;0.79;0.96;0.75;0.67
dmv.org;0.97;0.92;1;0.8
spazio38.com;0.62;0.85;0.67;1
booksy.com;0.9;0.89;0.91;0.93
kazashki.com;0.99;0.73;0.83;0.87
onchainfx.com;0.93;0.77;0.73;0.8
itoll.ir;0.66;0.79;0.9;0.73
oceancruisingclub.org;0.75;0.68;0.6;0.87
diariodearousa.com;0.58;0.79;0.92;0.73
mine-craft.io;0.45;0.72;0.8;0.8
cuatro.com;0.19;0.6;0.92;0.73
alanaditicaret.com;0.86;0.88;0.83;0.73
1st.com;0.88;0.95;1;0.93
saharamedias.net;0.85;0.72;0.91;0.87
enactjs.com;0.88;0.97;1;1
matlabsite.com;0.53;0.81;0.83;0.67
decathlon.in;0.49;0.88;1;0.67
europlan-online.de;0.87;0.55;0.9;0.67
fundjournalism.org;0.99;0.81;0.92;1
collegedekho.com;0.87;0.79;0.83;0.75
fbto.nl;0.95;0.95;1;0.87
cocbases.com;0.9;0.82;1;0.93
allfreechristmascrafts.com;0.26;0.78;0.83;0.53
whatsbestforum.com;0.73;0.81;0.82;0.93
wmarket.com.ua;0.64;0.7;0.83;0.73
developerhandbook.com;0.98;0.89;1;0.87
lolalambchops.com;0.98;0.96;0.92;0.87
lh.co.th;0.53;0.78;0.75;0.67
foreign-brides.net;1;0.91;1;0.87
legitmailorderbride.com;0.72;0.94;0.92;0.73
sydan.fi;0.76;0.98;1;0.73
akz.hr;0.88;0.86;1;0.73
lebonheur.org;0.8;0.86;0.67;0.73
6play.fr;0.67;0.91;1;0.87
muralsyourway.com;0.6;0.68;0.83;0.6
garr.tv;0.17;0.81;1;0.87
gecf.org;0.63;0.96;0.91;0.8
eizone.info;0.57;0.85;0.92;0.8
homealarmreport.com;0.95;0.96;1;0.93
thewaytohappiness.org;0.48;0.77;0.8;0.8
mountainviewtoday.ca;0.97;0.98;1;0.6
led1.de;0.76;0.89;0.91;0.67
esubtitle.com;0.86;0.63;0.92;0.67
nordmedia.de;1;0.88;1;0.87
journeysbydesign.com;0.98;0.87;0.92;1
bankiros.ru;0.83;0.8;0.92;0.53
